iter	Passed	Remaining
461	773	900
462	774	898
463	775	895
464	776	893
465	777	890
466	780	890
467	781	888
468	782	885
469	783	883
470	784	880
471	785	878
472	786	876
473	787	873
474	788	871
475	789	868
476	790	866
477	794	867
478	795	865
479	796	863
480	797	860
481	798	858
482	799	856
483	800	853
484	801	851
485	802	848
486	803	846
487	804	844
488	808	844
489	809	842
490	810	840
491	811	838
492	812	835
493	813	833
494	814	831
495	815	828
496	816	826
497	817	824
498	818	821
499	819	819
500	821	817
501	822	815
502	823	813
503	824	811
504	825	809
505	826	806
506	827	804
507	828	802
508	829	800
509	830	797
510	835	799
511	837	797
512	838	795
513	839	794
514	841	792
515	843	791
516	848	792
517	849	790
518	850	788
519	851	785
520	852	783
521	853	781
522	854	779
523	855	776
524	856	774
525	857	772
526	858	770
527	859	768
528	864	769
529	866	768
530	867	766
531	868	764
532	870	762
533	872	761
534	873	759
535	878	760
536	879	758
537	881	756
538	882	755
539	884	753
540	885	751
541	887	749
542	888	747
543	892	748
544	893	746
545	895	744
546	896	742
547	897	739
548	898	737
549	899	735
550	900	733
551	901	731
552	902	729
553	903	727
554	907	727
555	908	725
556	909	723
557	910	721
558	911	718
559	912	716
560	913	714
561	914	712
562	915	710
563	916	708
564	917	706
565	922	707
566	924	705
567	925	703
568	926	701
569	927	699
570	928	697
571	929	695
572	930	693
573	931	691
574	932	689
575	936	689
576	938	688
577	940	686
578	941	684
579	942	682
580	943	680
581	947	680
582	954	682
583	955	680
584	957	679
585	960	678
586	961	676
587	966	677
588	968	675
589	971	675
590	973	673
591	974	671
592	975	669
593	979	669
594	981	668
595	982	666
596	984	664
597	986	663
598	987	661
599	988	659
600	990	657
601	991	655
602	997	656
603	999	654
604	1000	652
605	1001	651
606	1003	649
607	1004	647
608	1005	645
609	1006	643
610	1008	642
611	1009	640
612	1010	638
613	1012	636
614	1013	634
615	1014	632
616	1015	630
617	1016	628
618	1017	626
619	1021	626
620	1023	624
621	1025	623
622	1026	621
623	1028	619
624	1126	676
625	1132	676
626	1201	714
627	1203	712
628	1205	710
629	1214	713
630	1233	721
631	1244	724
632	1246	722
633	1248	720
634	1253	720
635	1255	718
636	1256	716
637	1269	720
638	1273	719
639	1281	720
640	1285	719
641	1288	718
642	1295	719
643	1298	717
644	1301	716
645	1303	714
646	1310	715
647	1313	713
648	1316	712
649	1319	710
650	1327	711
651	1328	709
652	1330	707
653	1332	704
654	1335	703
655	1339	702
656	1346	703
657	1360	707
658	1362	705
659	1365	703
660	1371	703
661	1376	702
662	1386	704
663	1388	702
664	1394	702
665	1403	703
666	1411	704
667	1539	765
668	1541	762
669	1545	761
670	1550	760
671	1552	757
672	1554	755
673	1565	757
674	1609	774
675	1615	774
676	1624	775
677	1629	773
678	1634	772
679	1637	770
680	1640	768
681	1652	770
682	1656	768
683	1662	768
684	1665	765
685	1668	763
686	1676	763
687	1690	766
688	1693	764
689	1700	763
690	1704	762
691	1706	759
692	1715	760
693	1717	757
694	1720	754
695	1723	752
696	1727	750
697	1731	748
698	1759	757
699	1760	754
700	1762	751
701	1838	780
702	1841	778
703	1843	775
704	1846	772
705	1849	770
706	1851	767
707	1854	764
708	1856	762
709	1887	770
710	1889	768
711	1896	766
712	1900	765
713	1903	762
714	1905	759
715	1908	756
716	1910	754
717	1915	752
718	1923	751
719	1941	754
720	1948	753
721	1958	754
722	1962	751
723	1964	748
724	1972	748
725	1974	745
726	1975	741
727	1977	738
728	1979	735
729	1981	733
730	1985	730
731	1987	727
732	1989	724
733	2000	725
734	2005	722
735	2008	720
736	2022	721
737	2026	719
738	2028	716
739	2031	713
740	2036	711
741	2038	708
742	2042	706
743	2052	706
744	2057	704
745	2061	701
746	2070	701
747	2075	699
748	2078	696
749	2086	695
750	2094	694
751	2096	691
752	2099	688
753	2107	687
754	2109	684
755	2112	681
756	2114	678
757	2119	676
758	2121	673
759	2123	670
760	2129	668
761	2136	667
762	2138	664
763	2140	661
764	2153	661
765	2154	658
766	2157	655
767	2159	652
768	2176	653
769	2184	652
770	2186	649
771	2189	646
772	2201	646
773	2204	643
774	2206	640
775	2208	637
776	2218	636
777	2221	634
778	2223	630
779	2225	627
780	2231	625
781	2233	622
782	2235	619
783	2240	617
784	2246	615
785	2250	612
786	2253	609
787	2255	606
788	2262	605
789	2265	602
790	2267	599
791	2269	596
792	2277	594
793	2279	591
794	2281	588
795	2285	585
796	2293	584
797	2295	581
798	2297	578
799	2300	575
800	2307	573
801	2310	570
802	2311	567
803	2314	564
804	2316	561
805	2318	557
806	2321	555
807	2328	553
808	2330	550
809	2331	547
810	2334	544
811	2337	541
812	2341	538
813	2343	535
814	2345	532
815	2347	529
816	2349	526
817	2358	524
818	2359	521
819	2360	518
820	2361	514
821	2363	511
822	2365	508
823	2366	505
824	2369	502
825	2371	499
826	2373	496
827	2374	493
828	2375	490
829	2377	487
830	2383	484
831	2387	482
832	2389	478
833	2391	476
834	2399	474
835	2404	471
836	2406	468
837	2409	465
838	2413	463
839	2416	460
840	2421	457
841	2424	454
842	2427	452
843	2429	449
844	2431	446
845	2435	443
846	2442	441
847	2449	439
848	2451	435
849	2452	432
850	2453	429
851	2455	426
852	2463	424
853	2465	421
854	2467	418
855	2468	415
856	2470	412
857	2472	409
858	2479	407
859	2481	403
860	2482	400
861	2483	397
862	2485	394
863	2487	391
864	2489	388
865	2490	385
866	2492	382
867	2493	379
868	2494	376
869	2501	373
870	2503	370
871	2505	367
872	2510	365
873	2518	363
874	2520	360
875	2521	356
876	2524	354
877	2533	352
878	2535	349
879	2536	345
880	2538	342
881	2540	339
882	2550	337
883	2552	334
884	2553	331
885	2555	328
886	2556	325
887	2563	323
888	2564	320
889	2566	317
890	2567	314
891	2569	311
892	2570	308
893	2576	305
894	2581	302
895	2584	299
896	2585	296
897	2589	294
898	2591	291
899	2593	288
900	2600	285
901	2602	282
902	2604	279
903	2606	276
904	2621	275
905	2623	272
906	2624	269
907	2626	266
908	2632	263
909	2634	260
910	2639	257
911	2646	255
912	2648	252
913	2650	249
914	2652	246
915	2654	243
916	2655	240
917	2662	237
918	2663	234
919	2665	231
920	2675	229
921	2678	226
922	2679	223
923	2681	220
924	2683	217
925	2684	214
926	2686	211
927	2694	209
928	2696	206
929	2698	203
930	2700	200
931	2701	197
932	2708	194
933	2710	191
934	2712	188
935	2713	185
936	2715	182
937	2716	179
938	2722	176
939	2727	174
940	2729	171
941	2730	168
942	2736	165
943	2738	162
944	2739	159
945	2741	156
946	2743	153
947	2747	150
948	2751	147
949	2754	144
950	2756	142
951	2758	139
952	2760	136
953	2762	133
954	2763	130
955	2764	127
956	2766	124
957	2767	121
958	2768	118
959	2770	115
960	2775	112
961	2776	109
962	2779	106
963	2781	103
964	2783	100
965	2785	98
966	2786	95
967	2790	92
968	2791	89
969	2793	86
970	2794	83
971	2795	80
972	2797	77
973	2798	74
974	2800	71
975	2801	68
976	2805	66
977	2806	63
978	2808	60
979	2809	57
980	2810	54
981	2811	51
982	2813	48
983	2814	45
984	2815	42
985	2817	40
986	2818	37
987	2819	34
988	2821	31
989	2822	28
990	2823	25
991	2824	22
992	2826	19
993	2827	17
994	2831	14
995	2832	11
996	2834	8
997	2835	5
998	2836	2
999	2838	0
